Stkcd,F090101B,F090101C,F090501C,F091101A,F091801B,F091801C,F092101C,F090602C,F091002A,F081002B,F081202B,F081602C,jlr,yylr,yysr,rate1,rate2,rate03,factor_ma,F010101A,F011801A,F011901A,rate,PD,BZC,aa,y
600537,-0.502487981,-0.534575242,-0.199903987,-0.19274317,-0.290441757,-0.315543725,-0.748555686,-0.190424124,-0.387641494,1.010968,2.107313,0.513837,0.028000622,0.56186235,-0.032806992,-0.075308642,-0.36444633,1.971837347,-0.050130208,-0.466733524,-0.416615278,-0.267981438,-0.994124559,-0.370373527,0.045877595,72,1
600880,-0.474298837,-0.438713043,-0.593172624,-0.498596845,-0.184364717,-0.160459262,0.271870479,-0.589655426,-0.54362093,-0.810103,-0.878343,-0.262842,0.020164456,-0.01268735,-0.057359212,,,,,0.305823576,1.715313131,-0.948225155,-0.976303318,-0.319302901,0.048768733,73,1
600959,-0.345166891,,,-0.382359929,-0.118953748,,,,,,,,0.021040741,-0.008361289,-0.057479124,-0.007242878,0.132782101,0.140024979,-0.181118314,-0.388175387,0.15728321,-0.85247027,-0.966981132,1.12868719,0.072114674,74,1
600522,-0.225314508,0.100620664,0.301515293,-0.105258065,0.027173605,-0.440115758,-0.237061176,0.313662191,1.016037017,0.709107,0.671964,0.912081,0.024702346,0.002567198,-0.054873387,0.002620087,-0.1037182,-0.372489083,0.018764302,0.111835116,0.065462001,-0.705323141,-0.947411668,-0.170537248,0.044959324,75,1
600478,-0.626287711,-0.885153178,-0.571064527,-0.43984613,-0.239093857,-0.273992168,-0.178692272,-0.563558857,-0.91626322,-2.289321,0.409306,0.315995,0.011643184,-0.120215846,-0.055856764,-0.275547445,0.358116481,-0.096259124,0.009881423,-0.343954431,-0.198100129,0.42508551,-0.941282746,-0.027759458,0.043351345,76,1
002505,-0.538211943,-0.710350411,-0.708772822,-0.539570701,-0.189761158,-0.410436746,-0.453361414,-0.701999619,-1.025264273,-0.739552,-27.911393,5.61543,0.080959425,-0.017236212,-0.050445407,0.685512367,,0.929328622,-0.046875,0.681959263,0.197976011,-0.410317096,-0.910614525,-0.086408883,0.041257024,77,1
600663,-0.198142818,0.377623957,-0.460258543,0.335112316,-0.441917699,-0.365158526,-0.821123765,-0.452163499,0.762559846,0.214166,0.209681,0.100541,0.034431254,0.03938348,-0.044703778,-0.720582369,1.239392586,-0.015357,0.028918692,-0.681061843,-0.509574633,1.038194867,-0.893981666,0.004112474,0.045138081,78,1
600850,-0.342056118,0.272937006,0.832269497,-0.191012754,-0.542621772,0.270854125,0.652063476,0.847239463,-0.265356186,0.184203,0.139403,0.054069,-0.019926422,-0.079956194,-0.051513603,-0.018434055,-0.868731849,0.231729804,-0.040340489,-0.211465307,-0.437889784,-1.023211261,-0.891691395,-0.11518416,0.053190402,79,1
600435,-0.496268319,-0.546514881,-0.525674527,-0.447740768,-0.556156664,-0.323989167,0.151309082,-0.517927429,-0.686225524,-0.047901,0.828719,0.151317,0.032486654,0.012155496,-0.050074206,-0.555400697,0.201842546,0.06445993,-0.183087248,-0.234295208,-0.151901267,-0.923422907,-0.891497462,0.033745656,0.048294073,80,1
000719,1.131515836,0.29322948,0.087113475,-0.212053429,0.868517319,0.198821597,0.32373355,0.098119976,0.521878345,0.09365,0.040739,0.005077,0.024854603,0.002824201,-0.053323162,-0.359313725,,-0.326960784,0.025832091,0.170352426,0.057329011,-0.497287736,-0.857913669,-0.109629963,0.054947044,81,1
